,compound0,compound1,similarity
351,DB00153,DB06700,0.2105
352,DB00153,DB06701,0.155
353,DB00181,DB00184,0.1644
354,DB00181,DB00186,0.3299
355,DB00181,DB00188,0.2586
356,DB00181,DB00191,0.2647
357,DB00181,DB00195,0.28
358,DB00181,DB00196,0.2178
359,DB00181,DB00200,0.0912
360,DB00181,DB00201,0.1067
361,DB00181,DB00203,0.1538
362,DB00181,DB00204,0.2203
363,DB00181,DB00205,0.4235
364,DB00181,DB00208,0.2727
365,DB00181,DB00209,0.2276
366,DB00181,DB00210,0.2344
367,DB00181,DB00211,0.3678
368,DB00181,DB00213,0.2162
369,DB00181,DB00214,0.25
370,DB00181,DB00215,0.2264
371,DB00181,DB00216,0.2241
372,DB00181,DB00222,0.2273
373,DB00181,DB00231,0.3299
374,DB00181,DB00238,0.1895
375,DB00181,DB00243,0.2698
376,DB00181,DB00244,0.3881
377,DB00181,DB00250,0.2824
378,DB00181,DB00252,0.2366
379,DB00181,DB00257,0.2143
380,DB00181,DB00261,0.2169
381,DB00181,DB00262,0.1714
382,DB00181,DB00264,0.3077
383,DB00181,DB00268,0.2174
384,DB00181,DB00270,0.1964
385,DB00181,DB00275,0.2595
386,DB00181,DB00277,0.1096
387,DB00181,DB00280,0.2991
388,DB00181,DB00281,0.2857
389,DB00181,DB00285,0.3404
390,DB00181,DB00287,0.2239
391,DB00181,DB00291,0.4176
392,DB00181,DB00292,0.3146
393,DB00181,DB00294,0.1143
394,DB00181,DB00296,0.2553
395,DB00181,DB00297,0.2474
396,DB00181,DB00303,0.2188
397,DB00181,DB00305,0.1359
398,DB00181,DB00307,0.2778
399,DB00181,DB00310,0.3061
400,DB00181,DB00313,0.25
401,DB00181,DB00316,0.4118
402,DB00181,DB00317,0.1875
403,DB00181,DB00321,0.2424
404,DB00181,DB00323,0.3043
405,DB00181,DB00328,0.4299
406,DB00181,DB00330,0.1053
407,DB00181,DB00331,0.0667
408,DB00181,DB00333,0.3137
409,DB00181,DB00334,0.1569
410,DB00181,DB00335,0.4
411,DB00181,DB00339,0.254
412,DB00181,DB00341,0.4828
413,DB00181,DB00346,0.1709
414,DB00181,DB00350,0.1
415,DB00181,DB00351,0.1429
416,DB00181,DB00356,0.3478
417,DB00181,DB00358,0.1835
418,DB00181,DB00359,0.2791
419,DB00181,DB00363,0.2667
420,DB00181,DB00364,0.0333
421,DB00181,DB00370,0.1856
422,DB00181,DB00371,0.1558
423,DB00181,DB00374,0.2735
424,DB00181,DB00376,0.1942
425,DB00181,DB00377,0.1553
426,DB00181,DB00379,0.274
427,DB00181,DB00381,0.2957
428,DB00181,DB00393,0.2353
429,DB00181,DB00395,0.1647
430,DB00181,DB00398,0.2362
431,DB00181,DB00399,0.1519
432,DB00181,DB00401,0.2301
433,DB00181,DB00404,0.2745
434,DB00181,DB00407,0.0633
435,DB00181,DB00408,0.2667
436,DB00181,DB00411,0.1875
437,DB00181,DB00419,0.0769
438,DB00181,DB00423,0.3765
439,DB00181,DB00425,0.2745
440,DB00181,DB00426,0.2157
441,DB00181,DB00433,0.2883
442,DB00181,DB00435,0.0488
443,DB00181,DB00440,0.1458
444,DB00181,DB00446,0.4396
445,DB00181,DB00448,0.2222
446,DB00181,DB00450,0.2521
447,DB00181,DB00454,0.2472
448,DB00181,DB00455,0.2931
449,DB00181,DB00457,0.1864
450,DB00181,DB00458,0.2424
451,DB00181,DB00461,0.3488
452,DB00181,DB00465,0.3261
453,DB00181,DB00472,0.28
454,DB00181,DB00475,0.2857
455,DB00181,DB00477,0.3265
456,DB00181,DB00480,0.1978
457,DB00181,DB00481,0.2336
458,DB00181,DB00482,0.2202
459,DB00181,DB00484,0.1818
460,DB00181,DB00489,0.3953
461,DB00181,DB00490,0.1333
462,DB00181,DB00493,0.1667
463,DB00181,DB00499,0.2529
464,DB00181,DB00501,0.1395
465,DB00181,DB00502,0.3929
466,DB00181,DB00509,0.2745
467,DB00181,DB00512,0.1338
468,DB00181,DB00513,0.3226
469,DB00181,DB00524,0.233
470,DB00181,DB00529,0.1887
471,DB00181,DB00530,0.1639
472,DB00181,DB00531,0.1039
473,DB00181,DB00537,0.1905
474,DB00181,DB00540,0.2474
475,DB00181,DB00541,0.1359
476,DB00181,DB00543,0.2718
477,DB00181,DB00544,0.129
478,DB00181,DB00545,0.2466
479,DB00181,DB00548,0.2192
480,DB00181,DB00549,0.1818
481,DB00181,DB00550,0.1765
482,DB00181,DB00552,0.1304
